title,address,recommended_units,review_score,final_price
Valerim Florianópolis,"Centro de Florianópolis, Florianópolis","Quarto Duplo Standard
1 cama de casal
Café da manhã incluído
Restam 4 quartos por esse preço no nosso site","Com nota 8,2
8,2
Muito bom
4.606 avaliações",R$ 398
Rede Andrade Cecomtur,"Centro de Florianópolis, Florianópolis","Quarto Duplo Standard com Cama de Casal
1 cama de casal
Café da manhã incluído
Restam 4 quartos por esse preço no nosso site","Com nota 7,2
7,2
Bom
10.643 avaliações",R$ 495
Cris Hotel,"Lagoa da Conceição, Florianópolis","Suíte Dupla Standard
Camas: 1 de casal ou 2 de solteiro
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 8,9
8,9
Fabuloso
2.710 avaliações",R$ 269
Mar e Mar Florianópolis,"Praia dos Ingleses, Florianópolis","Suíte Deluxe
Suíte privativa
1 cama de casal grande
Café da manhã incluído
Resta 1 unidade por esse preço no nosso site","Com nota 8,8
8,8
Fabuloso
1.486 avaliações",R$ 263
Novotel Florianopolis,"Centro de Florianópolis, Florianópolis","Quarto com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído
Cancelamento grátis
Não requer pré-pagamento – pague na acomodação","Com nota 8,9
8,9
Fabuloso
1.882 avaliações",R$ 788
Iate Hotel Centro Florianópolis,"Centro de Florianópolis, Florianópolis","Suíte
1 cama de casal
Café da manhã incluído","Com nota 8,2
8,2
Muito bom
2.294 avaliações",R$ 434
IL Campanario Villaggio Resort - OFICIAL,"Jurerê, Florianópolis","Suíte Júnior
Suíte privativa • 1 quarto • 1 sala • 1 banheiro • 39 m²
3 camas (2 de solteiro, 1 sofá-cama)
Café da manhã incluído
Resta 1 unidade por esse preço no nosso site","Com nota 8,1
8,1
Muito bom
997 avaliações",R$ 645
Pousada Lozalti,"Barra da Lagoa, Florianópolis","Suíte 07
Suíte privativa
1 cama de casal
Café da manhã incluído
Resta 1 unidade por esse preço no nosso site","Com nota 9,2
9,2
Fantástico
565 avaliações",R$ 312
Faial Prime Suítes,"Centro de Florianópolis, Florianópolis","Quarto Executivo com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído
Restam 7 quartos por esse preço no nosso site","Com nota 8,8
8,8
Fabuloso
3.221 avaliações",R$ 462
Pousada Quintal Verde Floripa,"Lagoa da Conceição, Florianópolis","Suíte Tripla em cima de casa noturna (pode haver barulho)
2 camas (1 de solteiro, 1 de casal)
Café da manhã incluído
Restam 2 quartos por esse preço no nosso site","Com nota 8,2
8,2
Muito bom
916 avaliações",R$ 240
Tri Hotel Florianópolis,Florianópolis,"Quarto Standard com 2 Camas de Solteiro
2 camas de solteiro
Café da manhã incluído","Com nota 7,2
7,2
Bom
2.210 avaliações",R$ 249
Belle Arti Pousada,Florianópolis,"Apartamento Superior
Apartamento inteiro • 1 quarto • 1 sala • 1 banheiro • 28 m²
2 camas (1 sofá-cama, 1 king-size)
Café da manhã incluído
Restam 6 unidades por esse preço no nosso site","Com nota 9,4
9,4
Fantástico
437 avaliações",R$ 397
HANNA Amsterdam Hotel & Eventos,"Canasvieiras, Florianópolis","Quarto Duplo
Camas: 1 de casal ou 2 de solteiro
Café da manhã incluído
Restam 3 quartos por esse preço no nosso site","Com nota 7,5
7,5
Bom
2.343 avaliações",R$ 195
Pousada Praia dos Ingleses,"Praia dos Ingleses, Florianópolis","Apartamento de 1 Quarto
Apartamento inteiro • 1 quarto • 1 banheiro • 1 cozinha • 30 m²
2 camas (1 de solteiro, 1 de casal)
Restam 6 unidades por esse preço no nosso site","Com nota 8,6
8,6
Fabuloso
43 avaliações",R$ 180
