title,address,recommended_units,review_score,final_price
Hotel Traveltine Kyoto Kiyamachi,"Shimogyo Ward, Kyoto (Gion)","Premier Twin Room - Non-Smoking
2 twin beds
Only 1 room left at this price on our site","Scored 9.2
9.2
Wonderful
1,775 reviews",$214
MIMARU Kyoto Kawaramachi Gojo,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Apartment (5 Single-Beds)
5 twin beds
Only 3 rooms left at this price on our site","Scored 9.2
9.2
Wonderful
1,354 reviews",$315
Onyado Nono Kyoto Shichijo Natural Hot Spring,"Shimogyo Ward, Kyoto (Kyoto Station Area)","2×
Double Room for Single Use - Non-Smoking
2 full beds
Free cancellation
No prepayment needed – pay at the property","Scored 9.1
9.1
Wonderful
8,826 reviews",$293
NOHGA HOTEL KIYOMIZU KYOTO,"Higashiyama Ward, Kyoto (Gion)","Double Room
1 queen bed
Only 6 rooms left at this price on our site","Scored 9.3
9.3
Wonderful
3,654 reviews",$346
GOOD NATURE HOTEL KYOTO,"Shimogyo Ward, Kyoto (Gion)","Kawaramachi Suite with Terrace with Lounge Access
Private suite • 1 bedroom • 1 living room • 1 bathroom • 570 ft²
2 twin beds
Free cancellation
Only 1 left at this price on our site","Scored 9.2
9.2
Wonderful
2,862 reviews","$1,051"
Cross Hotel Kyoto,"Nakagyo Ward, Kyoto (Kawaramachi)","Standard Twin Room (2 Single Beds) - Non-Smoking
2 twin beds
Only 4 rooms left at this price on our site","Scored 9.2
9.2
Wonderful
4,606 reviews",$449
20 PIECES,"Shimogyo Ward, Kyoto (Kyoto Station Area)","LOFT-B
4 twin beds
Only 1 room left at this price on our site","Scored 9.3
9.3
Wonderful
932 reviews",$311
MIMARU Kyoto Shinmachi Sanjo,"Nakagyo Ward, Kyoto (Karasuma)","One-Bedroom Family Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 431 ft²
3 beds (2 twins, 1 bunk bed)
Only 2 left at this price on our site","Scored 9.1
9.1
Wonderful
1,172 reviews",$291
ORIENTAL HOTEL KYOTO ROKUJO,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Superior King Room (Japanese Style Room)
1 queen bed
Breakfast included
Only 1 room left at this price on our site","Scored 8.6
8.6
Excellent
3,069 reviews",$287
KABIN Kyoto,"Shimogyo Ward, Kyoto (Gion)","Studio King - Non-smoking
1 king bed
Only 1 room left at this price on our site","Scored 9.1
9.1
Wonderful
2,045 reviews",$280
Hotel The Celestine Kyoto Gion,"Higashiyama Ward, Kyoto (Gion)","Superior Twin Room - Non-Smoking
2 twin beds
Free cancellation
No prepayment needed – pay at the property","Scored 9.1
9.1
Wonderful
1,829 reviews",$403
Randor Residential Hotel Kyoto Suites,"Minami Ward, Kyoto (Kyoto Station Area)","Deluxe Queen Room
4 beds (1 queen, 3 futons)","Scored 8.3
8.3
Very Good
3,105 reviews",$277
MIMARU SUITES Kyoto Shijo,"Shimogyo Ward, Kyoto (Kawaramachi)","Superior Two-Bedroom Suite
Private suite • 2 bedrooms • 1 living room • 2 bathrooms • 721 ft²
4 twin beds
Free cancellation
Only 1 left at this price on our site","Scored 9.5
9.5
Exceptional
900 reviews",$548
Hop Inn Kyoto Shijo Omiya,"Nakagyo Ward, Kyoto (Shijo)","Small Double Room
1 full bed
Breakfast included
Only 4 rooms left at this price on our site","Scored 8.5
8.5
Very Good
886 reviews",$136
Kyoto Granbell Hotel,"Higashiyama Ward, Kyoto (Gion)","Standard Twin Room
2 twin beds
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site","Scored 8.7
8.7
Excellent
3,364 reviews",$375
Holiday Inn Kyoto Gojo,"Shimogyo Ward, Kyoto (Kawaramachi)","Standard Twin Room with Sofa
3 beds (2 twins, 1 sofa bed)","Scored 9.1
9.1
Wonderful
412 reviews",$173
Hotel New Hankyu Kyoto,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Moderate Twin Room - Non-Smoking
2 twin beds
Free cancellation
No prepayment needed – pay at the property
Only 6 rooms left at this price on our site","Scored 8.3
8.3
Very Good
3,392 reviews",$174
Sakura Terrace The Gallery,"Minami Ward, Kyoto (Kyoto Station Area)","Standard Double Room with Balcony - South Wing
1 queen bed
Free cancellation
Only 2 rooms left at this price on our site","Scored 8.8
8.8
Excellent
4,846 reviews",$272
Hotel Forza Kyoto Shijo Kawaramachi,"Shimogyo Ward, Kyoto (Gion)","Standard Double Room (2 Adults)
1 full bed
Only 1 room left at this price on our site","Scored 9.0
9.0
Wonderful
3,762 reviews",$218
THE THOUSAND KYOTO,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Twin Room
2 twin beds
Only 1 room left at this price on our site","Scored 9.4
9.4
Wonderful
2,478 reviews",$804
Hotel Excellence Enmachi Ekimae,"Nakagyo Ward, Kyoto (Kawaramachi, Karasuma, Omiya)","Twin Room
2 twin beds
Only 1 room left at this price on our site","Scored 8.0
8.0
Very Good
2,674 reviews",$106
Mitsui Garden Hotel Kyoto Sanjo PREMIER,"Nakagyo Ward, Kyoto (Kawaramachi)","Superior Twin Room
2 twin beds
Free cancellation
No prepayment needed – pay at the property
Only 4 rooms left at this price on our site","Scored 9.2
9.2
Wonderful
1,302 reviews",$542
The Royal Park Canvas - Kyoto Nijo,"Nakagyo Ward, Kyoto (Kawaramachi, Karasuma, Omiya)","Moderate King Room
1 king bed
Free cancellation
Only 1 room left at this price on our site","Scored 8.9
8.9
Excellent
2,126 reviews",$247
Ace Hotel Kyoto,"Nakagyo Ward, Kyoto (Kawaramachi)","Standard King Room
1 king bed
Free cancellation
Only 2 rooms left at this price on our site","Scored 9.2
9.2
Wonderful
2,204 reviews",$673
Hotel Vista Premio Kyoto Nagomi tei,"Nakagyo Ward, Kyoto (Kawaramachi)","Standard Twin Room
2 twin beds
Free cancellation
Only 2 rooms left at this price on our site","Scored 8.8
8.8
Excellent
1,617 reviews",$201
RESI STAY THE KYOTO,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Standard Double
Entire apartment • 1 bedroom • 1 bathroom • 291 ft²
1 full bed
Free cancellation
Only 1 left at this price on our site","Scored 8.1
8.1
Very Good
1,488 reviews",$207
HOTEL BRILLER Kyoto Station South,"Minami Ward, Kyoto (Kyoto Station Area)","Standard Double Room
1 full bed
Free cancellation","Scored 8.4
8.4
Very Good
1,322 reviews",$148
Mitsui Garden Hotel Kyoto Shijo,"Shimogyo Ward, Kyoto (Shijo)","Standard Double Room - Non-Smoking
1 full bed
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site","Scored 8.6
8.6
Excellent
4,302 reviews",$188
KYOTO GION HOTEL,"Higashiyama Ward, Kyoto (Gion)","Double Room
1 full bed
Only 2 rooms left at this price on our site","Scored 8.3
8.3
Very Good
1,267 reviews",$179
Kyoto Century Hotel,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Grand Comfort Superior Twin - Non-Smoking
2 twin beds
Only 1 room left at this price on our site","Scored 9.0
9.0
Wonderful
2,048 reviews",$350
Hotel Keihan Kyoto Grande,"Minami Ward, Kyoto (Kyoto Station Area)","Twin Room - Non-Smoking
2 twin beds
Breakfast included
Only 3 rooms left at this price on our site","Scored 8.3
8.3
Very Good
2,351 reviews",$249
MIMARU Kyoto Nishinotoin Takatsuji,"Shimogyo Ward, Kyoto (Karasuma)","Family Apartment
3 beds (2 twins, 1 bunk bed)
Only 2 rooms left at this price on our site","Scored 9.1
9.1
Wonderful
1,328 reviews",$304
Mercure Kyoto Station,"Shimogyo Ward, Kyoto (Kyoto Station Area)","Superior Twin Room with Bath Tub
2 twin beds
Only 7 rooms left at this price on our site","Scored 8.7
8.7
Excellent
1,697 reviews",$304
RAKURO Kyoto by THE SHARE HOTELS,"Nakagyo Ward, Kyoto (Kawaramachi, Karasuma, Omiya)","Standard Twin
2 twin beds
Free cancellation
Only 2 rooms left at this price on our site","Scored 8.7
8.7
Excellent
2,413 reviews",$266
